epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.1886,1.48075,0.72028,0.98102,0.78589,0.0674459,0.000328829,0.000328829
2,41.0332,0.76795,0.82717,0.99201,0.5029,0.0344416,0.000657792,0.000657792
3,58.6149,0.64034,0.81718,0.99201,0.54373,0.00143281,0.000982355,0.000982355
4,81.0858,0.5567,0.78022,0.98701,0.6474,0.0009802,0.0009802,0.0009802
5,102.24,0.54167,0.84316,0.99401,0.46558,0.0009736,0.0009736,0.0009736
6,122.901,0.45148,0.86114,0.99201,0.44562,0.000967,0.000967,0.000967
7,143.314,0.41366,0.86713,0.99501,0.38771,0.0009604,0.0009604,0.0009604
8,163.907,0.36018,0.89011,0.99501,0.36876,0.0009538,0.0009538,0.0009538
9,184.809,0.35648,0.87612,0.996,0.37636,0.0009472,0.0009472,0.0009472
10,207.218,0.34075,0.86214,0.99101,0.47812,0.0009406,0.0009406,0.0009406
11,229.377,0.32399,0.86513,0.99301,0.50128,0.000934,0.000934,0.000934
12,253.462,0.32111,0.86613,0.99301,0.43613,0.0009274,0.0009274,0.0009274
13,281.193,0.26801,0.88212,0.999,0.38892,0.0009208,0.0009208,0.0009208
14,305.477,0.28287,0.8961,0.99301,0.31638,0.0009142,0.0009142,0.0009142
15,327.682,0.26733,0.8981,0.996,0.30966,0.0009076,0.0009076,0.0009076
16,350.146,0.23336,0.9021,0.99301,0.35718,0.000901,0.000901,0.000901
17,372.168,0.24231,0.88412,0.99301,0.40613,0.0008944,0.0008944,0.0008944
18,394.847,0.22191,0.9041,0.99201,0.36369,0.0008878,0.0008878,0.0008878
19,416.768,0.23157,0.89411,0.996,0.3425,0.0008812,0.0008812,0.0008812
20,439.612,0.22855,0.88611,0.996,0.39215,0.0008746,0.0008746,0.0008746
21,462.429,0.1891,0.9041,0.99501,0.3286,0.000868,0.000868,0.000868
22,484.651,0.17916,0.8981,0.99501,0.37886,0.0008614,0.0008614,0.0008614
23,507.542,0.18621,0.90509,0.997,0.35416,0.0008548,0.0008548,0.0008548
24,530.061,0.2083,0.89211,0.99201,0.42371,0.0008482,0.0008482,0.0008482
25,552.273,0.18753,0.88711,0.996,0.39438,0.0008416,0.0008416,0.0008416
26,574.346,0.17734,0.9041,0.99501,0.3611,0.000835,0.000835,0.000835
27,596.751,0.19038,0.8961,0.996,0.3692,0.0008284,0.0008284,0.0008284
28,618.705,0.17693,0.90609,0.996,0.35094,0.0008218,0.0008218,0.0008218
29,640.621,0.14494,0.90809,0.99401,0.36856,0.0008152,0.0008152,0.0008152
30,663.122,0.12801,0.91309,0.99401,0.33794,0.0008086,0.0008086,0.0008086
31,685.565,0.15538,0.9041,0.99301,0.40199,0.000802,0.000802,0.000802
32,707.994,0.15378,0.8961,0.99201,0.4357,0.0007954,0.0007954,0.0007954
33,729.455,0.15448,0.91808,0.996,0.36938,0.0007888,0.0007888,0.0007888
34,752.793,0.13271,0.91109,0.99301,0.37801,0.0007822,0.0007822,0.0007822
35,775.622,0.1283,0.90509,0.996,0.34882,0.0007756,0.0007756,0.0007756
36,798.576,0.13244,0.91209,0.996,0.35222,0.000769,0.000769,0.000769
37,821.131,0.10967,0.91409,0.99401,0.3502,0.0007624,0.0007624,0.0007624
38,844.663,0.12496,0.92108,0.996,0.33414,0.0007558,0.0007558,0.0007558
39,867.308,0.14939,0.91209,0.996,0.37288,0.0007492,0.0007492,0.0007492
40,893.618,0.13661,0.91708,0.99501,0.31087,0.0007426,0.0007426,0.0007426
41,916.274,0.12428,0.91309,0.99401,0.33765,0.000736,0.000736,0.000736
42,939.979,0.12434,0.91708,0.99501,0.34795,0.0007294,0.0007294,0.0007294
43,962.554,0.11297,0.91309,0.99401,0.35747,0.0007228,0.0007228,0.0007228
44,984.331,0.10496,0.91608,0.99401,0.36349,0.0007162,0.0007162,0.0007162
45,1006.96,0.11736,0.92108,0.996,0.29403,0.0007096,0.0007096,0.0007096
46,1029.3,0.10738,0.92607,0.996,0.31219,0.000703,0.000703,0.000703
47,1051.52,0.11716,0.92008,0.99501,0.32545,0.0006964,0.0006964,0.0006964
48,1073.95,0.09383,0.92507,0.997,0.3398,0.0006898,0.0006898,0.0006898
49,1096.77,0.09694,0.92208,0.99501,0.34724,0.0006832,0.0006832,0.0006832
50,1119.45,0.10213,0.91708,0.99501,0.38578,0.0006766,0.0006766,0.0006766
51,1141.65,0.11513,0.91109,0.997,0.35236,0.00067,0.00067,0.00067
52,1165.04,0.11966,0.92308,0.997,0.33366,0.0006634,0.0006634,0.0006634
53,1187.83,0.10443,0.91009,0.99401,0.34843,0.0006568,0.0006568,0.0006568
54,1210.13,0.09926,0.93207,0.998,0.29736,0.0006502,0.0006502,0.0006502
55,1232.47,0.09669,0.92208,0.996,0.30131,0.0006436,0.0006436,0.0006436
56,1255.11,0.08675,0.92907,0.997,0.3436,0.000637,0.000637,0.000637
57,1277.08,0.08634,0.91908,0.996,0.39044,0.0006304,0.0006304,0.0006304
58,1300.47,0.07876,0.91808,0.99501,0.3828,0.0006238,0.0006238,0.0006238
59,1323.01,0.07815,0.91808,0.99401,0.31238,0.0006172,0.0006172,0.0006172
60,1345.33,0.08468,0.91109,0.99401,0.38344,0.0006106,0.0006106,0.0006106
61,1367.66,0.09409,0.92308,0.999,0.39514,0.000604,0.000604,0.000604
62,1390.58,0.08345,0.91808,0.996,0.31548,0.0005974,0.0005974,0.0005974
63,1413.54,0.07532,0.92807,0.99501,0.32208,0.0005908,0.0005908,0.0005908
64,1435.9,0.07059,0.92807,0.996,0.29453,0.0005842,0.0005842,0.0005842
65,1458.1,0.07056,0.92308,0.996,0.3027,0.0005776,0.0005776,0.0005776
66,1481.08,0.05544,0.92607,0.99401,0.31616,0.000571,0.000571,0.000571
67,1502.93,0.0642,0.93007,0.99501,0.30059,0.0005644,0.0005644,0.0005644
68,1525.63,0.07604,0.93806,0.99501,0.28075,0.0005578,0.0005578,0.0005578
69,1548.03,0.08158,0.92607,0.99501,0.32906,0.0005512,0.0005512,0.0005512
70,1570.35,0.08642,0.93007,0.997,0.27951,0.0005446,0.0005446,0.0005446
71,1593.58,0.08018,0.93407,0.996,0.28252,0.000538,0.000538,0.000538
72,1616.75,0.06301,0.92108,0.997,0.31064,0.0005314,0.0005314,0.0005314
73,1639.99,0.06757,0.92507,0.997,0.33759,0.0005248,0.0005248,0.0005248
74,1662.44,0.0694,0.93007,0.99401,0.32747,0.0005182,0.0005182,0.0005182
75,1684.46,0.04566,0.93307,0.998,0.29817,0.0005116,0.0005116,0.0005116
76,1706.57,0.05277,0.93407,0.996,0.31733,0.000505,0.000505,0.000505
77,1729.24,0.06207,0.93007,0.998,0.33179,0.0004984,0.0004984,0.0004984
78,1752.53,0.07122,0.93207,0.997,0.30606,0.0004918,0.0004918,0.0004918
79,1774.56,0.05554,0.93606,0.997,0.24886,0.0004852,0.0004852,0.0004852
80,1797.09,0.05199,0.92907,0.997,0.27585,0.0004786,0.0004786,0.0004786
81,1819.33,0.05138,0.93906,0.997,0.2662,0.000472,0.000472,0.000472
82,1841.75,0.05775,0.93107,0.999,0.28482,0.0004654,0.0004654,0.0004654
83,1863.77,0.04589,0.94206,0.998,0.271,0.0004588,0.0004588,0.0004588
84,1886.91,0.05201,0.94406,0.997,0.27579,0.0004522,0.0004522,0.0004522
85,1909.21,0.05691,0.92308,0.997,0.28423,0.0004456,0.0004456,0.0004456
86,1931.3,0.05174,0.93806,0.99401,0.27705,0.000439,0.000439,0.000439
87,1953.68,0.04784,0.93506,0.99501,0.30066,0.0004324,0.0004324,0.0004324
